Date,Price,Open,High,Low,Change %
9-Nov-15,132.43,132.12,133.2,132.09,0.11%
6-Nov-15,132.29,132.47,133.23,131.49,-0.17%
5-Nov-15,132.51,132.05,132.75,131.8,0.32%
4-Nov-15,132.09,132.74,132.95,131.77,-0.52%
3-Nov-15,132.78,132.96,133.13,132.49,-0.20%
2-Nov-15,133.04,132.98,133.26,132.58,0.22%
30-Oct-15,132.75,132.93,133.4,132.18,-0.16%
29-Oct-15,132.96,132.23,133.04,131.57,0.54%
28-Oct-15,132.25,133.07,133.6,131.92,-0.64%
27-Oct-15,133.1,133.84,133.93,132.67,-0.58%
26-Oct-15,133.88,133.68,133.92,133.05,0.04%
23-Oct-15,133.82,134.02,134.31,133.33,-0.16%
22-Oct-15,134.04,135.95,136.1,133.96,-1.45%
21-Oct-15,136.01,135.91,136.44,135.82,0.01%
20-Oct-15,135.99,135.3,136.25,135.22,0.50%
19-Oct-15,135.31,135.55,135.81,135.02,-0.16%
16-Oct-15,135.53,135.3,136.01,134.91,0.14%
15-Oct-15,135.34,136.32,136.76,134.75,-0.73%
14-Oct-15,136.34,136.2,136.77,136.1,0.04%
13-Oct-15,136.28,136.28,136.64,135.97,-0.02%
12-Oct-15,136.31,136.56,136.94,136.18,-0.22%
9-Oct-15,136.61,135.23,137.01,135.01,0.99%
8-Oct-15,135.27,134.82,135.6,134.65,0.32%
7-Oct-15,134.84,135.44,135.66,134.57,-0.52%
6-Oct-15,135.54,134.77,135.66,134.35,0.59%
5-Oct-15,134.74,134.51,135.74,134.36,0.25%
2-Oct-15,134.41,134.24,135.09,133.94,0.10%
1-Oct-15,134.28,133.92,134.3,133.41,0.23%
30-Sep-15,133.97,134.61,135.15,133.53,-0.53%
29-Sep-15,134.69,134.81,135.04,134.19,-0.13%
28-Sep-15,134.86,134.93,134.99,133.88,-0.09%
25-Sep-15,134.98,134.79,135.43,134.07,0.09%
24-Sep-15,134.86,134.52,134.9,133.97,0.22%
23-Sep-15,134.57,133.54,134.72,133.11,0.71%
22-Sep-15,133.62,134.86,135,133.27,-0.93%
21-Sep-15,134.88,135.4,136.18,134.72,-0.57%
18-Sep-15,135.66,137.2,137.31,135.19,-1.16%
17-Sep-15,137.25,136.09,137.63,136,0.84%
16-Sep-15,136.11,135.67,136.64,135.11,0.31%
15-Sep-15,135.69,136,136.43,134.94,-0.31%
14-Sep-15,136.11,136.64,137.08,135.44,-0.45%
11-Sep-15,136.73,136,136.95,135.68,0.50%
10-Sep-15,136.05,134.99,136.27,134.69,0.75%
9-Sep-15,135.04,134.14,135.25,134.13,0.64%
8-Sep-15,134.18,133.21,134.44,132.92,0.74%
7-Sep-15,133.2,132.73,133.36,132.51,0.41%
4-Sep-15,132.66,133.54,133.68,132.18,-0.67%
3-Sep-15,133.56,135.07,135.39,133.1,-1.13%
2-Sep-15,135.09,135.01,135.83,134.67,0.01%
1-Sep-15,135.07,135.9,136.29,134.62,-0.65%
31-Aug-15,135.95,135.98,136.4,135.63,-0.09%
28-Aug-15,136.07,136.07,136.63,135.25,-0.03%
27-Aug-15,136.11,135.67,136.41,135.21,0.32%
26-Aug-15,135.68,136.86,137.62,135.37,-0.88%
25-Aug-15,136.89,137.55,138.68,136.4,-0.53%
24-Aug-15,137.62,138.67,139.01,135.91,-0.98%
21-Aug-15,138.98,138.7,139.08,138.13,0.19%
20-Aug-15,138.72,137.61,138.78,137.57,0.76%
19-Aug-15,137.67,137.08,137.89,137.03,0.41%
18-Aug-15,137.11,137.75,137.94,137,-0.50%
17-Aug-15,137.8,138.04,138.42,137.54,-0.20%
14-Aug-15,138.07,138.69,138.87,137.89,-0.47%
13-Aug-15,138.72,138.56,138.88,138.04,0.11%
12-Aug-15,138.57,138.1,138.88,137.98,0.30%
11-Aug-15,138.15,137.27,138.4,136.75,0.59%
10-Aug-15,137.34,136.21,137.44,136.06,0.79%
7-Aug-15,136.26,136.25,136.8,135.51,-0.01%
6-Aug-15,136.28,136.21,136.51,135.76,0.05%
5-Aug-15,136.21,135.3,136.26,134.94,0.63%
4-Aug-15,135.36,135.79,136.21,135.23,-0.34%
3-Aug-15,135.82,135.9,136.49,135.55,-0.27%
31-Jul-15,136.19,135.7,137.35,135.53,0.34%
30-Jul-15,135.73,136.12,136.51,135.49,-0.32%
29-Jul-15,136.16,136.63,137.14,135.93,-0.37%
28-Jul-15,136.66,136.66,136.99,136.31,-0.04%
27-Jul-15,136.72,135.81,137.17,135.69,0.53%
24-Jul-15,136,136.04,136.33,135.48,-0.07%
