Date,Price,Open,High,Low,Change %
20-Jun-12,6.3598,6.3545,6.3604,6.3536,0.08%
19-Jun-12,6.3546,6.357,6.358,6.354,-0.04%
18-Jun-12,6.3573,6.3651,6.3656,6.3518,-0.13%
15-Jun-12,6.3656,6.3703,6.371,6.3611,-0.08%
14-Jun-12,6.3705,6.369,6.3711,6.3661,0.02%
13-Jun-12,6.369,6.3704,6.3731,6.3678,-0.02%
12-Jun-12,6.3705,6.3689,6.378,6.3679,0.02%
11-Jun-12,6.3692,6.3695,6.3703,6.3653,-0.02%
8-Jun-12,6.3702,6.3635,6.371,6.3629,0.10%
7-Jun-12,6.3637,6.3634,6.3638,6.3558,-0.01%
6-Jun-12,6.3642,6.3665,6.3682,6.3607,-0.05%
5-Jun-12,6.3675,6.36,6.3678,6.3579,0.05%
4-Jun-12,6.3643,6.3685,6.3693,6.3632,-0.08%
1-Jun-12,6.3695,6.3685,6.3726,6.3654,0.01%
31-May-12,6.3688,6.3575,6.3783,6.3575,0.17%
30-May-12,6.3579,6.348,6.3587,6.348,0.15%
29-May-12,6.3483,6.3445,6.3497,6.3445,0.05%
28-May-12,6.3452,6.3438,6.3455,6.3403,0.02%
25-May-12,6.3441,6.3444,6.3524,6.3432,-0.01%
24-May-12,6.3448,6.3345,6.3465,6.3343,0.16%
23-May-12,6.3348,6.3228,6.3351,6.3228,0.19%
22-May-12,6.323,6.323,6.3266,6.3194,-0.08%
21-May-12,6.328,6.3279,6.3294,6.321,0.00%
18-May-12,6.3283,6.3251,6.3302,6.3237,0.04%
17-May-12,6.326,6.321,6.3264,6.3182,0.06%
16-May-12,6.3224,6.3177,6.3285,6.3177,0.07%
15-May-12,6.3179,6.321,6.3269,6.3153,-0.05%
14-May-12,6.3213,6.31,6.3219,6.3097,0.18%
11-May-12,6.3102,6.3139,6.3191,6.3097,-0.06%
10-May-12,6.3143,6.3095,6.3145,6.3095,0.07%
9-May-12,6.3101,6.3077,6.3116,6.3072,0.03%
8-May-12,6.3079,6.3075,6.3088,6.3059,0.00%
7-May-12,6.3078,6.3059,6.3145,6.3055,0.03%
4-May-12,6.306,6.3049,6.3075,6.3028,0.01%
3-May-12,6.3053,6.3075,6.3101,6.3013,-0.04%
2-May-12,6.308,6.3085,6.3103,6.2944,-0.03%
1-May-12,6.3099,6.3089,6.3099,6.3089,0.00%
30-Apr-12,6.3099,6.3094,6.3099,6.3094,0.00%
27-Apr-12,6.3099,6.3055,6.3125,6.302,0.07%
26-Apr-12,6.3057,6.304,6.3065,6.2942,0.01%
25-Apr-12,6.305,6.3073,6.3083,6.302,-0.04%
24-Apr-12,6.3074,6.3085,6.3118,6.3063,-0.02%
23-Apr-12,6.3088,6.3085,6.3103,6.3025,0.00%
20-Apr-12,6.3086,6.3037,6.3104,6.3034,0.07%
19-Apr-12,6.3039,6.3029,6.3086,6.3025,0.00%
18-Apr-12,6.304,6.3015,6.3095,6.301,0.03%
17-Apr-12,6.3022,6.3149,6.3156,6.2927,-0.21%
16-Apr-12,6.3157,6.3022,6.3274,6.3021,0.19%
13-Apr-12,6.3035,6.3065,6.3075,6.2949,-0.06%
12-Apr-12,6.3073,6.3075,6.3091,6.3005,-0.03%
11-Apr-12,6.309,6.306,6.3114,6.306,-0.03%
10-Apr-12,6.311,6.308,6.3129,6.3059,0.03%
9-Apr-12,6.3089,6.3054,6.3116,6.3017,0.03%
6-Apr-12,6.3072,6.3121,6.3211,6.304,-0.10%
5-Apr-12,6.3135,6.2998,6.314,6.2998,0.25%
4-Apr-12,6.298,6.2975,6.298,6.2975,0.00%
3-Apr-12,6.298,6.2975,6.298,6.2975,-0.01%
2-Apr-12,6.2985,6.2975,6.2985,6.2975,0.01%
30-Mar-12,6.298,6.3057,6.3062,6.2972,-0.12%
29-Mar-12,6.3058,6.3045,6.3106,6.3045,0.01%
28-Mar-12,6.3053,6.306,6.3111,6.304,-0.02%
27-Mar-12,6.3065,6.314,6.3148,6.3021,-0.14%
26-Mar-12,6.3151,6.3035,6.3161,6.296,0.14%
23-Mar-12,6.3061,6.2995,6.3093,6.284,0.10%
22-Mar-12,6.2997,6.313,6.3207,6.2982,-0.37%
21-Mar-12,6.3228,6.3237,6.328,6.3205,-0.02%
20-Mar-12,6.3243,6.3215,6.3274,6.3101,0.03%
19-Mar-12,6.3226,6.322,6.3238,6.307,-0.01%
16-Mar-12,6.323,6.3283,6.3293,6.3173,-0.09%
15-Mar-12,6.3289,6.331,6.3362,6.3279,-0.05%
14-Mar-12,6.3321,6.327,6.3473,6.3266,0.08%
13-Mar-12,6.327,6.3245,6.3281,6.32,0.01%
12-Mar-12,6.3263,6.3192,6.3276,6.3188,0.25%
9-Mar-12,6.3107,6.316,6.3165,6.3044,-0.09%
8-Mar-12,6.3164,6.3097,6.3168,6.3094,0.10%
7-Mar-12,6.3099,6.3116,6.3177,6.3088,0.03%
6-Mar-12,6.3079,6.307,6.3106,6.3065,0.02%
5-Mar-12,6.3069,6.2976,6.3077,6.2976,0.13%
2-Mar-12,6.299,6.3,6.3015,6.296,-0.02%
1-Mar-12,6.3004,6.2935,6.3011,6.2935,0.10%
29-Feb-12,6.2938,6.2985,6.2994,6.2907,-0.08%
28-Feb-12,6.2991,6.3015,6.3017,6.2947,-0.04%
27-Feb-12,6.3016,6.2978,6.303,6.2953,0.06%
24-Feb-12,6.2978,6.2983,6.3,6.2939,-0.02%
23-Feb-12,6.299,6.295,6.3028,6.295,0.03%
22-Feb-12,6.297,6.2963,6.3003,6.2942,0.01%
21-Feb-12,6.2965,6.3014,6.3042,6.2954,-0.08%
20-Feb-12,6.3017,6.2986,6.3025,6.2916,0.05%
17-Feb-12,6.2988,6.3012,6.3018,6.2955,-0.05%
16-Feb-12,6.3017,6.2999,6.305,6.2988,0.02%
15-Feb-12,6.3002,6.299,6.3027,6.2978,0.01%
14-Feb-12,6.2995,6.296,6.3018,6.296,0.03%
13-Feb-12,6.2976,6.2949,6.306,6.294,-0.03%
10-Feb-12,6.2995,6.2938,6.2996,6.2876,0.07%
9-Feb-12,6.295,6.2935,6.3013,6.2935,0.00%
8-Feb-12,6.2948,6.3046,6.3056,6.2935,-0.16%
7-Feb-12,6.3048,6.3116,6.3126,6.3039,-0.12%
6-Feb-12,6.3124,6.3027,6.314,6.3024,0.15%
3-Feb-12,6.303,6.3018,6.3078,6.3018,0.02%
2-Feb-12,6.302,6.3065,6.3068,6.298,-0.09%
1-Feb-12,6.3076,6.3075,6.3104,6.3023,-0.02%
31-Jan-12,6.309,6.3295,6.3319,6.3069,-0.39%
30-Jan-12,6.3338,6.3331,6.3358,6.3078,0.00%
27-Jan-12,6.334,6.333,6.334,6.333,0.00%
26-Jan-12,6.334,6.333,6.334,6.333,0.00%
25-Jan-12,6.334,6.333,6.334,6.333,0.00%
24-Jan-12,6.334,6.333,6.334,6.333,0.00%
23-Jan-12,6.334,6.333,6.334,6.333,0.00%
20-Jan-12,6.334,6.3161,6.3393,6.3076,0.27%
19-Jan-12,6.3167,6.3112,6.3212,6.3105,0.08%
18-Jan-12,6.3119,6.3132,6.3189,6.3079,-0.03%
17-Jan-12,6.3139,6.3163,6.3174,6.3103,-0.04%
16-Jan-12,6.3165,6.3065,6.3197,6.3064,0.15%
13-Jan-12,6.3068,6.3178,6.3197,6.3052,-0.18%
12-Jan-12,6.3181,6.315,6.3231,6.315,0.04%
11-Jan-12,6.3154,6.3142,6.3245,6.3123,0.01%
10-Jan-12,6.3148,6.3144,6.3167,6.31,0.00%
9-Jan-12,6.3146,6.3089,6.3196,6.3065,0.08%
6-Jan-12,6.3094,6.3014,6.3138,6.3012,0.12%
5-Jan-12,6.3016,6.2942,6.3064,6.2938,0.11%
4-Jan-12,6.2945,6.2935,6.2988,6.2913,0.01%
3-Jan-12,6.2941,6.2935,6.2941,6.2935,0.00%
2-Jan-12,6.2941,6.2935,6.2941,6.2935,0.00%
30-Dec-11,6.2939,6.3188,6.3189,6.2939,-0.40%
29-Dec-11,6.319,6.321,6.3255,6.3169,-0.03%
28-Dec-11,6.3212,6.3211,6.3279,6.3152,-0.01%
27-Dec-11,6.3218,6.319,6.3276,6.316,0.04%
26-Dec-11,6.3194,6.3365,6.3372,6.3156,-0.28%
23-Dec-11,6.3373,6.3393,6.3413,6.33,-0.03%
22-Dec-11,6.3395,6.3387,6.3422,6.3309,0.01%
21-Dec-11,6.3388,6.3463,6.3466,6.3264,-0.13%
20-Dec-11,6.347,6.3376,6.3541,6.3339,0.15%
19-Dec-11,6.3377,6.3483,6.3574,6.3368,-0.17%
16-Dec-11,6.3484,6.3735,6.374,6.33,-0.40%
15-Dec-11,6.374,6.3712,6.3747,6.371,0.04%
14-Dec-11,6.3712,6.365,6.3714,6.3645,0.09%
13-Dec-11,6.3655,6.3606,6.3678,6.3606,0.07%
12-Dec-11,6.3609,6.3639,6.3643,6.3565,-0.05%
