Date,Price,Open,High,Low,Change %
6-Dec-12,0.9913,0.9916,0.9926,0.9889,-0.04%
5-Dec-12,0.9917,0.9926,0.9941,0.9904,-0.10%
4-Dec-12,0.9927,0.9951,0.9954,0.9912,-0.24%
3-Dec-12,0.9951,0.9938,0.9953,0.9911,0.08%
30-Nov-12,0.9943,0.9924,0.9951,0.9919,0.17%
29-Nov-12,0.9926,0.9917,0.9938,0.9909,0.06%
28-Nov-12,0.992,0.9945,0.9961,0.9915,-0.27%
27-Nov-12,0.9947,0.9933,0.9948,0.9902,0.12%
26-Nov-12,0.9935,0.9931,0.996,0.9914,0.06%
23-Nov-12,0.9929,0.9968,0.9981,0.9912,-0.42%
22-Nov-12,0.9971,0.9963,0.9982,0.9948,0.08%
21-Nov-12,0.9963,0.9966,0.999,0.9954,-0.05%
20-Nov-12,0.9968,0.9963,0.9991,0.9952,0.05%
19-Nov-12,0.9963,1.0014,1.0017,0.9951,-0.49%
16-Nov-12,1.0012,1.0009,1.0056,0.9992,0.05%
15-Nov-12,1.0007,1.0039,1.0041,1,-0.32%
14-Nov-12,1.0039,1.0019,1.0041,0.9994,0.18%
13-Nov-12,1.0021,0.9997,1.0035,0.9988,0.22%
12-Nov-12,0.9999,1.001,1.0012,0.9982,-0.17%
9-Nov-12,1.0016,1.0002,1.0033,0.9979,0.12%
8-Nov-12,1.0004,0.9963,1.0004,0.9944,0.35%
7-Nov-12,0.9969,0.9918,0.9982,0.987,0.48%
6-Nov-12,0.9921,0.9961,0.9967,0.9907,-0.42%
5-Nov-12,0.9963,0.9956,0.9977,0.9937,0.03%
2-Nov-12,0.996,0.9964,0.9984,0.9918,-0.04%
1-Nov-12,0.9964,0.9992,1.0013,0.9956,-0.29%
31-Oct-12,0.9993,0.999,1.0014,0.9956,0.00%
30-Oct-12,0.9993,1.001,1.0019,0.9979,-0.18%
29-Oct-12,1.0011,0.9975,1.0011,0.9968,0.45%
26-Oct-12,0.9966,0.9948,0.9994,0.9938,0.17%
25-Oct-12,0.9949,0.9935,0.9954,0.9898,0.14%
24-Oct-12,0.9935,0.9923,0.9958,0.9885,0.11%
23-Oct-12,0.9924,0.9919,0.9976,0.9896,0.03%
22-Oct-12,0.9921,0.9937,0.9964,0.9914,-0.16%
19-Oct-12,0.9937,0.985,0.9939,0.9841,0.85%
18-Oct-12,0.9853,0.9778,0.9859,0.976,0.77%
17-Oct-12,0.9778,0.9864,0.9871,0.9769,-0.90%
16-Oct-12,0.9867,0.9804,0.9878,0.9798,0.60%
15-Oct-12,0.9808,0.9786,0.9811,0.9765,0.06%
12-Oct-12,0.9802,0.9785,0.9809,0.9764,0.16%
11-Oct-12,0.9786,0.9817,0.9834,0.9759,-0.32%
10-Oct-12,0.9817,0.9777,0.9818,0.9764,0.34%
9-Oct-12,0.9784,0.9768,0.9807,0.974,0.15%
8-Oct-12,0.9769,0.9783,0.98,0.9748,-0.18%
5-Oct-12,0.9787,0.9802,0.9812,0.9731,-0.18%
4-Oct-12,0.9805,0.9875,0.9878,0.9796,-0.72%
3-Oct-12,0.9876,0.984,0.9884,0.9835,0.37%
2-Oct-12,0.984,0.9821,0.9843,0.9808,0.18%
1-Oct-12,0.9822,0.9834,0.9853,0.9794,-0.16%
28-Sep-12,0.9838,0.9803,0.9851,0.9778,0.33%
27-Sep-12,0.9806,0.9854,0.9856,0.9787,-0.50%
26-Sep-12,0.9855,0.9805,0.986,0.9797,0.50%
25-Sep-12,0.9806,0.9785,0.981,0.9753,0.18%
24-Sep-12,0.9788,0.976,0.9818,0.9757,0.25%
21-Sep-12,0.9764,0.9767,0.9779,0.9728,-0.06%
20-Sep-12,0.977,0.9744,0.9816,0.9741,0.25%
