Date,Price,Open,High,Low,Change %
30-Mar-12,1.334,1.3313,1.3375,1.3308,0.20%
29-Mar-12,1.3313,1.3324,1.3344,1.3251,-0.08%
28-Mar-12,1.3324,1.3328,1.3372,1.3276,-0.03%
27-Mar-12,1.3328,1.3356,1.3384,1.3311,-0.21%
26-Mar-12,1.3356,1.3282,1.3366,1.3191,0.66%
23-Mar-12,1.3268,1.3203,1.3292,1.3189,0.49%
22-Mar-12,1.3203,1.3217,1.3253,1.3133,-0.10%
21-Mar-12,1.3216,1.3237,1.3284,1.3177,-0.16%
20-Mar-12,1.3237,1.3228,1.3251,1.3171,0.07%
19-Mar-12,1.3228,1.3175,1.3264,1.314,0.41%
16-Mar-12,1.3174,1.3076,1.3186,1.3048,0.75%
15-Mar-12,1.3076,1.302,1.3118,1.3003,0.43%
14-Mar-12,1.302,1.3078,1.3089,1.301,-0.44%
13-Mar-12,1.3078,1.3168,1.319,1.3051,-0.68%
12-Mar-12,1.3168,1.312,1.3172,1.3078,0.35%
9-Mar-12,1.3122,1.327,1.3271,1.3095,-1.12%
8-Mar-12,1.327,1.3139,1.329,1.3134,1.00%
7-Mar-12,1.3139,1.3118,1.3163,1.3095,0.15%
6-Mar-12,1.3119,1.3222,1.3225,1.3102,-0.78%
5-Mar-12,1.3222,1.3184,1.324,1.3159,0.20%
2-Mar-12,1.3196,1.3325,1.3331,1.3186,-0.97%
1-Mar-12,1.3325,1.3323,1.3355,1.3281,0.02%
29-Feb-12,1.3323,1.3476,1.3484,1.3317,-1.14%
28-Feb-12,1.3477,1.3407,1.3478,1.3388,0.53%
27-Feb-12,1.3406,1.3465,1.3467,1.3365,-0.30%
24-Feb-12,1.3446,1.3372,1.3485,1.3356,0.55%
23-Feb-12,1.3373,1.3254,1.3377,1.323,0.90%
22-Feb-12,1.3254,1.3248,1.3265,1.321,0.05%
21-Feb-12,1.3248,1.3206,1.3292,1.3186,0.32%
20-Feb-12,1.3206,1.3222,1.3275,1.3181,0.52%
17-Feb-12,1.3138,1.3126,1.3196,1.3114,0.09%
16-Feb-12,1.3126,1.3054,1.3158,1.2973,0.55%
15-Feb-12,1.3054,1.3127,1.3189,1.3042,-0.56%
14-Feb-12,1.3127,1.3153,1.3215,1.3079,-0.20%
13-Feb-12,1.3153,1.3239,1.3283,1.3144,-0.33%
10-Feb-12,1.3197,1.3274,1.3289,1.3154,-0.58%
9-Feb-12,1.3274,1.3246,1.332,1.3225,0.21%
8-Feb-12,1.3246,1.3247,1.3287,1.3214,-0.01%
7-Feb-12,1.3247,1.3117,1.3266,1.3088,0.99%
6-Feb-12,1.3117,1.3124,1.314,1.3026,-0.32%
3-Feb-12,1.3159,1.3135,1.3204,1.3065,0.18%
2-Feb-12,1.3135,1.3168,1.3195,1.3084,-0.25%
1-Feb-12,1.3168,1.3075,1.3217,1.3025,0.71%
31-Jan-12,1.3075,1.3137,1.3212,1.3041,-0.47%
30-Jan-12,1.3137,1.3205,1.3209,1.3075,-0.61%
27-Jan-12,1.3218,1.3088,1.3233,1.3076,0.99%
26-Jan-12,1.3088,1.3105,1.3183,1.3088,-0.13%
25-Jan-12,1.3105,1.3034,1.3119,1.293,0.54%
24-Jan-12,1.3034,1.3023,1.3062,1.2952,0.08%
23-Jan-12,1.3023,1.2886,1.3051,1.2882,0.72%
20-Jan-12,1.293,1.296,1.2985,1.2886,-0.23%
19-Jan-12,1.296,1.2862,1.2971,1.2838,0.76%
18-Jan-12,1.2862,1.2746,1.2867,1.2733,0.92%
17-Jan-12,1.2745,1.2665,1.2808,1.2664,0.63%
16-Jan-12,1.2665,1.2647,1.2686,1.2625,-0.09%
13-Jan-12,1.2677,1.2822,1.2879,1.2623,-1.12%
12-Jan-12,1.282,1.2721,1.2844,1.2699,0.78%
11-Jan-12,1.2721,1.2752,1.2789,1.2662,-0.24%
10-Jan-12,1.2752,1.2772,1.2817,1.2742,-0.16%
