Date,Price,Open,High,Low,Change %
9-May-12,1.6133,1.6152,1.6158,1.6067,-0.15%
8-May-12,1.6158,1.6192,1.6198,1.6121,-0.22%
7-May-12,1.6193,1.6153,1.6197,1.6111,0.23%
4-May-12,1.6156,1.6179,1.6201,1.6139,-0.16%
3-May-12,1.6182,1.6199,1.6215,1.616,-0.12%
2-May-12,1.6201,1.6216,1.6238,1.6158,-0.12%
1-May-12,1.622,1.6234,1.6247,1.6184,-0.08%
30-Apr-12,1.6233,1.6271,1.6301,1.6219,-0.21%
27-Apr-12,1.6267,1.6176,1.6279,1.615,0.56%
26-Apr-12,1.6176,1.6164,1.6206,1.6156,0.05%
25-Apr-12,1.6168,1.614,1.6182,1.6078,0.17%
24-Apr-12,1.614,1.6124,1.6163,1.6107,0.07%
23-Apr-12,1.6128,1.613,1.6134,1.6072,0.01%
20-Apr-12,1.6126,1.6052,1.6148,1.6035,0.45%
19-Apr-12,1.6054,1.6019,1.6076,1.6005,0.20%
18-Apr-12,1.6022,1.5923,1.6041,1.5891,0.64%
17-Apr-12,1.592,1.5895,1.597,1.5859,0.13%
16-Apr-12,1.5899,1.5851,1.591,1.5816,0.32%
13-Apr-12,1.5848,1.5958,1.597,1.5841,-0.69%
12-Apr-12,1.5958,1.5924,1.5985,1.5913,0.22%
11-Apr-12,1.5923,1.5853,1.5938,1.5853,0.44%
10-Apr-12,1.5854,1.5906,1.5931,1.581,-0.33%
9-Apr-12,1.5906,1.5877,1.5914,1.5836,0.21%
6-Apr-12,1.5872,1.5829,1.5892,1.5825,0.27%
5-Apr-12,1.5829,1.5903,1.5909,1.5805,-0.47%
4-Apr-12,1.5903,1.5903,1.5911,1.5834,-0.01%
3-Apr-12,1.5905,1.6036,1.6046,1.5892,-0.82%
2-Apr-12,1.6036,1.6012,1.6062,1.598,0.17%
30-Mar-12,1.6008,1.5958,1.6037,1.5956,0.31%
29-Mar-12,1.5958,1.5891,1.5964,1.586,0.42%
28-Mar-12,1.5892,1.5953,1.5964,1.5843,-0.38%
27-Mar-12,1.5953,1.596,1.6001,1.5942,-0.04%
26-Mar-12,1.596,1.5878,1.5974,1.5801,0.57%
23-Mar-12,1.587,1.5823,1.5909,1.5807,0.30%
22-Mar-12,1.5823,1.5874,1.5893,1.5771,-0.32%
21-Mar-12,1.5874,1.5864,1.5923,1.5818,0.07%
20-Mar-12,1.5863,1.5886,1.5897,1.5832,-0.14%
19-Mar-12,1.5886,1.5836,1.5914,1.5822,0.27%
16-Mar-12,1.5844,1.5703,1.5861,1.5694,0.90%
15-Mar-12,1.5703,1.5652,1.5737,1.5635,0.33%
14-Mar-12,1.5651,1.5704,1.5744,1.565,-0.34%
